Songs,Songs_rename,Singers,Singers_rename
全世界只想你來愛我,QuanShiJieZhiXiangNiLaiAiWo,張國榮,ZhangGuoRong
全賴有你,QuanLaiYouNi,張國榮,ZhangGuoRong
全身都是愛,QuanShenDuShiAi,張國榮,ZhangGuoRong
共你別離,GongNiBieLi,張國榮,ZhangGuoRong
共創真善美(從未發行過),GongChuangZhenShanMei(CongWeiFaXingGuo),張國榮,ZhangGuoRong
共同渡過(國語版),GongTongDuGuo(GuoYuBan),張國榮,ZhangGuoRong
共同渡過,GongTongDuGuo,張國榮,ZhangGuoRong
再戀,ZaiLian,張國榮,ZhangGuoRong
冤家,YuanJia,張國榮,ZhangGuoRong
凝望,NingWang,張國榮,ZhangGuoRong
分手,FenShou,張國榮,ZhangGuoRong
別話+大約在冬季(89年演唱會),BieHua+DaYueZaiDongJi(89NianYanChangHui),張國榮,ZhangGuoRong
別話,BieHua,張國榮,ZhangGuoRong
到未來日子,DaoWeiLaiRiZi,張國榮,ZhangGuoRong
刻骨銘心,KeGuMingXin,張國榮,ZhangGuoRong
十號風球,ShiHaoFengQiu,張國榮,ZhangGuoRong
千千闋歌(90 Live),QianQianQueGe(90Live),張國榮,ZhangGuoRong
千嬌百美,QianJiaoBaiMei,張國榮,ZhangGuoRong
千山萬水(國),QianShanWanShui(Guo),張國榮,ZhangGuoRong
午夜奔馳,WuYeBenChi,張國榮,ZhangGuoRong
午後紅茶,WuHouHongCha,張國榮,ZhangGuoRong
取暖,QuNuan,張國榮,ZhangGuoRong
只怕不再遇上(live 97),ZhiPaBuZaiYuShang(live97),張國榮,ZhangGuoRong
只怕不再遇上,ZhiPaBuZaiYuShang,張國榮,ZhangGuoRong
叫妳一聲,JiaoNaiYiSheng,張國榮,ZhangGuoRong
可人兒,KeRenEr,張國榮,ZhangGuoRong
可否多一吻,KeFouDuoYiWen,張國榮,ZhangGuoRong
同道中人,TongDaoZhongRen,張國榮,ZhangGuoRong
喝彩(張國榮&陳百強),HeCai(ZhangGuoRong&ChenBaiQiang),張國榮,ZhangGuoRong
在妳的眼裡看不見我的心,ZaiNaiDeYanLiKanBuJianWoDeXin,張國榮,ZhangGuoRong
夜半歌聲(國),YeBanGeSheng(Guo),張國榮,ZhangGuoRong
夜半歌聲,YeBanGeSheng,張國榮,ZhangGuoRong
夜有所夢(&黃耀明),YeYouSuoMeng(&HuangYaoMing),張國榮,ZhangGuoRong
夠了(enough's enough mix),GouLiao(enough'senoughmix),張國榮,ZhangGuoRong
夠了,GouLiao,張國榮,ZhangGuoRong
夢到內河(Vcd),MengDaoNeiHe(Vcd),張國榮,ZhangGuoRong
夢到內河,MengDaoNeiHe,張國榮,ZhangGuoRong
夢死醉生,MengSiZuiSheng,張國榮,ZhangGuoRong
夢裡藍天,MengLiLanTian,張國榮,ZhangGuoRong
大亨,DaHeng,張國榮,ZhangGuoRong
大報復,DaBaoFu,張國榮,ZhangGuoRong
大熱(Vcd),DaRe(Vcd),張國榮,ZhangGuoRong
大熱,DaRe,張國榮,ZhangGuoRong
大约在冬季,DaYueZaiDongJi,張國榮,ZhangGuoRong
天使之愛,TianShiZhiAi,張國榮,ZhangGuoRong
失散的影子,ShiSanDeYingZi,張國榮,ZhangGuoRong
奇蹟,QiJi,張國榮,ZhangGuoRong
奔向未來日子,BenXiangWeiLaiRiZi,張國榮,ZhangGuoRong
奔向未來的日子,BenXiangWeiLaiDeRiZi,張國榮,ZhangGuoRong
如果你知我苦衷(黃耀明),RuGuoNiZhiWoKuZhong(HuangYaoMing),張國榮,ZhangGuoRong
妄想,WangXiang,張國榮,ZhangGuoRong
妒忌,DuJi,張國榮,ZhangGuoRong
妳在何地,NaiZaiHeDi,張國榮,ZhangGuoRong
妳的一切,NaiDeYiQie,張國榮,ZhangGuoRong
始終會行運,ShiZhongHuiXingYun,張國榮,ZhangGuoRong
守住風口,ShouZhuFengKou,張國榮,ZhangGuoRong
宿醉,SuZui,張國榮,ZhangGuoRong
寂寞夜晚,JiMoYeWan,張國榮,ZhangGuoRong
寂寞有害,JiMoYouHai,張國榮,ZhangGuoRong
寂寞獵人,JiMoLieRen,張國榮,ZhangGuoRong
小明星,XiaoMingXing,張國榮,ZhangGuoRong
少女心事,ShaoNuXinShi,張國榮,ZhangGuoRong
左右手(Acoustic Mix),ZuoYouShou(AcousticMix),張國榮,ZhangGuoRong
左右手(Vcd),ZuoYouShou(Vcd),張國榮,ZhangGuoRong
左右手,ZuoYouShou,張國榮,ZhangGuoRong
從不知,CongBuZhi,張國榮,ZhangGuoRong
從未可以,CongWeiKeYi,張國榮,ZhangGuoRong
心中情,XinZhongQing,張國榮,ZhangGuoRong
心跳呼吸正常(Vcd),XinTiaoHuXiZhengChang(Vcd),張國榮,ZhangGuoRong
心跳呼吸正常,XinTiaoHuXiZhengChang,張國榮,ZhangGuoRong
怨男,YuanNan,張國榮,ZhangGuoRong
怪你過份美麗,GuaiNiGuoFenMeiLi,張國榮,ZhangGuoRong
怪你過分美麗,GuaiNiGuoFenMeiLi,張國榮,ZhangGuoRong
悲傷的語言,BeiShangDeYuYan,張國榮,ZhangGuoRong
情人箭,QingRenJian,張國榮,ZhangGuoRong
情到濃時,QingDaoNongShi,張國榮,ZhangGuoRong
情感的刺,QingGanDeCi,張國榮,ZhangGuoRong
情自困,QingZiKun,張國榮,ZhangGuoRong
情難再續,QingNanZaiXu,張國榮,ZhangGuoRong
情難自控,QingNanZiKong,張國榮,ZhangGuoRong
想你,XiangNi,張國榮,ZhangGuoRong
想妳,XiangNai,張國榮,ZhangGuoRong
意猶未盡,YiYouWeiJin,張國榮,ZhangGuoRong
愛情路裡,AiQingLuLi,張國榮,ZhangGuoRong
愛情離合器,AiQingLiHeQi,張國榮,ZhangGuoRong
愛慕,AiMu,張國榮,ZhangGuoRong
愛有萬萬千,AiYouWanWanQian,張國榮,ZhangGuoRong
愛火,AiHuo,張國榮,ZhangGuoRong
愛的兇手(Remix Version),AiDeXiongShou(RemixVersion),張國榮,ZhangGuoRong
愛的兇手,AiDeXiongShou,張國榮,ZhangGuoRong
愛的抉擇,AiDeJueZe,張國榮,ZhangGuoRong
愛的狂徒,AiDeKuangTu,張國榮,ZhangGuoRong
戀愛交叉,LianAiJiaoCha,張國榮,ZhangGuoRong
我(Vcd),Wo(Vcd),張國榮,ZhangGuoRong
我(國語版),Wo(GuoYuBan),張國榮,ZhangGuoRong
我,Wo,張國榮,ZhangGuoRong
我未驚過(張國榮&許冠傑),WoWeiJingGuo(ZhangGuoRong&XuGuanJie),張國榮,ZhangGuoRong
我的心裡沒有他,WoDeXinLiMeiYouTa,張國榮,ZhangGuoRong
我眼中的她,WoYanZhongDeTa,張國榮,ZhangGuoRong
我知你好,WoZhiNiHao,張國榮,ZhangGuoRong
我要逆風去,WoYaoNiFengQu,張國榮,ZhangGuoRong
我走我路,WoZouWoLu,張國榮,ZhangGuoRong
我願意,WoYuanYi,張國榮,ZhangGuoRong
打開信箱,DaKaiXinXiang,張國榮,ZhangGuoRong
找一個地方,ZhaoYiGeDiFang,張國榮,ZhangGuoRong
抵抗夜寒,DiKangYeHan,張國榮,ZhangGuoRong
拒絕再玩(Play Again Mix),JuJueZaiWan(PlayAgainMix),張國榮,ZhangGuoRong
拒絕再玩,JuJueZaiWan,張國榮,ZhangGuoRong
挪亞方舟,NuoYaFangZhou,張國榮,ZhangGuoRong
握住一把寂寞,WoZhuYiBaJiMo,張國榮,ZhangGuoRong
放蕩,FangDang,張國榮,ZhangGuoRong
敢愛,GanAi,張國榮,ZhangGuoRong
明星,MingXing,張國榮,ZhangGuoRong
明月夜,MingYueYe,張國榮,ZhangGuoRong
春光乍洩,ChunGuangZhaXie,張國榮,ZhangGuoRong
春夏秋冬(Vcd),ChunXiaQiuDong(Vcd),張國榮,ZhangGuoRong
春夏秋冬,ChunXiaQiuDong,張國榮,ZhangGuoRong
暴風一族,BaoFengYiZu,張國榮,ZhangGuoRong
最冷一天,ZuiLengYiTian,張國榮,ZhangGuoRong
最愛,ZuiAi,張國榮,ZhangGuoRong
月亮代表我的心,YueLiangDaiBiaoWoDeXin,張國榮,ZhangGuoRong
月正亮,YueZhengLiang,張國榮,ZhangGuoRong
有心人,YouXinRen,張國榮,ZhangGuoRong
有誰共鳴(鋼琴演奏版),YouShuiGongMing(GangQinYanZouBan),張國榮,ZhangGuoRong
有誰共鳴,YouShuiGongMing,張國榮,ZhangGuoRong
未來之歌,WeiLaiZhiGe,張國榮,ZhangGuoRong
枕頭(Vcd),ZhenTou(Vcd),張國榮,ZhangGuoRong
枕頭,ZhenTou,張國榮,ZhangGuoRong
柔情蜜意,RouQingMiYi,張國榮,ZhangGuoRong
棉花糖,MianHuaTang,張國榮,ZhangGuoRong
永遠記得,YongYuanJiDe,張國榮,ZhangGuoRong
沈聖衣,ChenShengYi,張國榮,ZhangGuoRong
沉默是金,ChenMoShiJin,張國榮,ZhangGuoRong
沒有愛,MeiYouAi,張國榮,ZhangGuoRong
沒有煙總有花,MeiYouYanZongYouHua,張國榮,ZhangGuoRong
油脂熱潮,YouZhiReChao,張國榮,ZhangGuoRong
流浪,LiuLang,張國榮,ZhangGuoRong
浣花洗劍錄,HuanHuaXiJianLu,張國榮,ZhangGuoRong
浮生若夢,FuShengRuoMeng,張國榮,ZhangGuoRong
深情相擁,ShenQingXiangYong,張國榮,ZhangGuoRong
滴汗,DiHan,張國榮,ZhangGuoRong
漫天風雨,ManTianFengYu,張國榮,ZhangGuoRong
潔身自愛,JieShenZiAi,張國榮,ZhangGuoRong
濃情,NongQing,張國榮,ZhangGuoRong
為你鍾情,WeiNiZhongQing,張國榮,ZhangGuoRong
為妳,WeiNai,張國榮,ZhangGuoRong
為妳鍾情,WeiNaiZhongQing,張國榮,ZhangGuoRong
為誰瘋癲,WeiShuiFengDian,張國榮,ZhangGuoRong
烈火燈蛾,LieHuoDengE,張國榮,ZhangGuoRong
烈火邊緣,LieHuoBianYuan,張國榮,ZhangGuoRong
無形鎖扣,WuXingSuoKou,張國榮,ZhangGuoRong
無心睡眠 (Whoo-Oh-O Mix),WuXinShuiMian(Whoo-Oh-OMix),張國榮,ZhangGuoRong
無心睡眠(Whoo-OH-O Mix),WuXinShuiMian(Whoo-OH-OMix),張國榮,ZhangGuoRong
無心睡眠,WuXinShuiMian,張國榮,ZhangGuoRong
無膽入情關,WuDanRuQingGuan,張國榮,ZhangGuoRong
無需要太多,WuXuYaoTaiDuo,張國榮,ZhangGuoRong
煙花燙,YanHuaTang,張國榮,ZhangGuoRong
熱情的沙漠,ReQingDeShaMo,張國榮,ZhangGuoRong
熱辣辣(Remix Version),ReLaLa(RemixVersion),張國榮,ZhangGuoRong
熱辣辣,ReLaLa,張國榮,ZhangGuoRong
燒毀我眼睛,ShaoHuiWoYanJing,張國榮,ZhangGuoRong
燒燬我眼睛,ShaoHuiWoYanJing,張國榮,ZhangGuoRong
燕子的故事,YanZiDeGuShi,張國榮,ZhangGuoRong
片段,PianDuan,張國榮,ZhangGuoRong
狂野如我,KuangYeRuWo,張國榮,ZhangGuoRong
玻璃之情,BoLiZhiQing,張國榮,ZhangGuoRong
甜蜜的禁果,TianMiDeJinGuo,張國榮,ZhangGuoRong
由零開始,YouLingKaiShi,張國榮,ZhangGuoRong
留住昨天,LiuZhuZuoTian,張國榮,ZhangGuoRong
當年情(鋼琴演奏版),DangNianQing(GangQinYanZouBan),張國榮,ZhangGuoRong
當年情,DangNianQing,張國榮,ZhangGuoRong
當愛已成往事(國),DangAiYiChengWangShi(Guo),張國榮,ZhangGuoRong
當愛已成往事,DangAiYiChengWangShi,張國榮,ZhangGuoRong
當真就好,DangZhenJiuHao,張國榮,ZhangGuoRong
癡心的我(國語版),ChiXinDeWo(GuoYuBan),張國榮,ZhangGuoRong
癡心的我,ChiXinDeWo,張國榮,ZhangGuoRong
發燒,FaShao,張國榮,ZhangGuoRong
盡情地愛,JinQingDiAi,張國榮,ZhangGuoRong
直到世界沒有愛情,ZhiDaoShiJieMeiYouAiQing,張國榮,ZhangGuoRong
眉來眼去,MeiLaiYanQu,張國榮,ZhangGuoRong
真相,ZhenXiang,張國榮,ZhangGuoRong
知道愛,ZhiDaoAi,張國榮,ZhangGuoRong
禁片,JinPian,張國榮,ZhangGuoRong
穿梭機,ChuanSuoJi,張國榮,ZhangGuoRong
童年時,TongNianShi,張國榮,ZhangGuoRong
第一次,DiYiCi,張國榮,ZhangGuoRong
紅,Hong,張國榮,ZhangGuoRong
紅蝴蝶,HongHuDie,張國榮,ZhangGuoRong
紅顏白髮,HongYanBaiFa,張國榮,ZhangGuoRong
紙船,ZhiChuan,張國榮,ZhangGuoRong
紫色的愛(& 梅艷芳),ZiSeDeAi(&MeiYanFang),張國榮,ZhangGuoRong
絕不可以,JueBuKeYi,張國榮,ZhangGuoRong
緣份(& 張國榮),YuanFen(&ZhangGuoRong),張國榮,ZhangGuoRong
緣份(& 梅艷芳),YuanFen(&MeiYanFang),張國榮,ZhangGuoRong
緣份,YuanFen,張國榮,ZhangGuoRong
緣份有幾多,YuanFenYouJiDuo,張國榮,ZhangGuoRong
繼續跳舞,JiXuTiaoWu,張國榮,ZhangGuoRong
背棄命運,BeiQiMingYun,張國榮,ZhangGuoRong
胭脂扣('88 Live),YanZhiKou('88Live),張國榮,ZhangGuoRong
胭脂扣(88 Live),YanZhiKou(88Live),張國榮,ZhangGuoRong
胭脂扣(粵),YanZhiKou(Yue),張國榮,ZhangGuoRong
胭脂扣,YanZhiKou,張國榮,ZhangGuoRong
至少還有你,ZhiShaoHuanYouNi,張國榮,ZhangGuoRong
芳華絕代(&梅艷芳),FangHuaJueDai(&MeiYanFang),張國榮,ZhangGuoRong
萬人迷,WanRenMi,張國榮,ZhangGuoRong
藍色憂鬱,LanSeYouYu,張國榮,ZhangGuoRong
蝶變,DieBian,張國榮,ZhangGuoRong
被愛,BeiAi,張國榮,ZhangGuoRong
誰令你心痴(& 陳潔靈),ShuiLingNiXinChi(&ChenJieLing),張國榮,ZhangGuoRong
誰令你心癡,ShuiLingNiXinChi,張國榮,ZhangGuoRong
誰令妳心癡,ShuiLingNaiXinChi,張國榮,ZhangGuoRong
誰負了誰,ShuiFuLiaoShui,張國榮,ZhangGuoRong
談情說愛,TanQingShuoAi,張國榮,ZhangGuoRong
談戀愛,TanLianAi,張國榮,ZhangGuoRong
請勿越軌,QingWuYueGui,張國榮,ZhangGuoRong
變色龍,BianSeLong,張國榮,ZhangGuoRong
讓我消失去,RangWoXiaoShiQu,張國榮,ZhangGuoRong
讓我飛,RangWoFei,張國榮,ZhangGuoRong
貼身,TieShen,張國榮,ZhangGuoRong
路過蜻蜓(Vcd),LuGuoQingTing(Vcd),張國榮,ZhangGuoRong
路過蜻蜓,LuGuoQingTing,張國榮,ZhangGuoRong
身邊有人,ShenBianYouRen,張國榮,ZhangGuoRong
迷惑我,MiHuoWo,張國榮,ZhangGuoRong
迷路,MiLu,張國榮,ZhangGuoRong
追(金枝玉葉),Zhui(JinZhiYuXie),張國榮,ZhangGuoRong
追,Zhui,張國榮,ZhangGuoRong
追族,ZhuiZu,張國榮,ZhangGuoRong
透明的妳,TouMingDeNai,張國榮,ZhangGuoRong
這些年來,ZheXieNianLai,張國榮,ZhangGuoRong
這刻相見後,ZheKeXiangJianHou,張國榮,ZhangGuoRong
這是愛,ZheShiAi,張國榮,ZhangGuoRong
這麼遠那麼近,ZheMaYuanNaMaJin,張國榮,ZhangGuoRong
還有誰,HuanYouShui,張國榮,ZhangGuoRong
那一記耳光,NaYiJiErGuang,張國榮,ZhangGuoRong
野火,YeHuo,張國榮,ZhangGuoRong
闖進新領域,ChuangJinXinLingYu,張國榮,ZhangGuoRong
陪你倒數(Vcd),PeiNiDaoShu(Vcd),張國榮,ZhangGuoRong
陪你倒數,PeiNiDaoShu,張國榮,ZhangGuoRong
隨心,SuiXin,張國榮,ZhangGuoRong
隱身人,YinShenRen,張國榮,ZhangGuoRong
難以再說對不起,NanYiZaiShuoDuiBuQi,張國榮,ZhangGuoRong
雨中的浪漫,YuZhongDeLangMan,張國榮,ZhangGuoRong
雪中情,XueZhongQing,張國榮,ZhangGuoRong
電風扇,DianFengShan,張國榮,ZhangGuoRong
需要你,XuYaoNi,張國榮,ZhangGuoRong
願你決定,YuanNiJueDing,張國榮,ZhangGuoRong
願能比翼飛,YuanNengBiYiFei,張國榮,ZhangGuoRong
風再起時,FengZaiQiShi,張國榮,ZhangGuoRong
風繼續吹(1985重唱版),FengJiXuChui(1985ZhongChangBan),張國榮,ZhangGuoRong
風繼續吹(演唱會版本),FengJiXuChui(YanChangHuiBanBen),張國榮,ZhangGuoRong
風繼續吹(鋼琴演奏版),FengJiXuChui(GangQinYanZouBan),張國榮,ZhangGuoRong
風繼續吹,FengJiXuChui,張國榮,ZhangGuoRong
飛機師的風衣,FeiJiShiDeFengYi,張國榮,ZhangGuoRong
驚夢,JingMeng,張國榮,ZhangGuoRong
黑色午夜 (90new Mix),HeiSeWuYe(90newMix),張國榮,ZhangGuoRong
黑色午夜(Remix),HeiSeWuYe(Remix),張國榮,ZhangGuoRong
黑色午夜,HeiSeWuYe,張國榮,ZhangGuoRong
默默向上游,MoMoXiangShangYou,張國榮,ZhangGuoRong
'友'情歌(1985-1993),'You'QingGe(1985-1993),張學友,ZhangXueYou
.永遠的笑靨,.YongYuanDeXiaoYe,張學友,ZhangXueYou
All I Ask,AllIAsk,張學友,ZhangXueYou
Amour(live 91),Amour(live91),張學友,ZhangXueYou
Amour,Amour,張學友,ZhangXueYou
And Then She Hit Me,AndThenSheHitMe,張學友,ZhangXueYou
Band Introduction,BandIntroduction,張學友,ZhangXueYou
Conrazon de Melao,ConrazondeMelao,張學友,ZhangXueYou
Corazon De Melao,CorazonDeMelao,張學友,ZhangXueYou
Cry!,Cry!,張學友,ZhangXueYou
Cry,Cry,張學友,ZhangXueYou
Double Trouble,DoubleTrouble,張學友,ZhangXueYou
Every Time A Good Time,EveryTimeAGoodTime,張學友,ZhangXueYou
Everyday Is Christmas,EverydayIsChristmas,張學友,ZhangXueYou
First Of May,FirstOfMay,張學友,ZhangXueYou
For My Broken Heart,ForMyBrokenHeart,張學友,ZhangXueYou
HONEY B,HONEYB,張學友,ZhangXueYou
I Don't Wanna Be,IDon'tWannaBe,張學友,ZhangXueYou
I Go To Pieces,IGoToPieces,張學友,ZhangXueYou
I Got It Made,IGotItMade,張學友,ZhangXueYou
In Love With You,InLoveWithYou,張學友,ZhangXueYou
Instrumental,Instrumental,張學友,ZhangXueYou
Intrumental,Intrumental,張學友,ZhangXueYou
Let It Go,LetItGo,張學友,ZhangXueYou
Let Me Go,LetMeGo,張學友,ZhangXueYou
Life Is Like A Dream,LifeIsLikeADream,張學友,ZhangXueYou
LINDA(國),LINDA(Guo),張學友,ZhangXueYou
LINDA,LINDA,張學友,ZhangXueYou
Live Medley,LiveMedley,張學友,ZhangXueYou
Lost Christmas,LostChristmas,張學友,ZhangXueYou
Love,Love,張學友,ZhangXueYou
MARIA,MARIA,張學友,ZhangXueYou
Me,Me,張學友,ZhangXueYou
MEDLEY(忘記他+愛火花),MEDLEY(WangJiTa+AiHuoHua),張學友,ZhangXueYou
Medley,Medley,張學友,ZhangXueYou
MERRY CHRISTMAS I LOVE YOU,MERRYCHRISTMASILOVEYOU,張學友,ZhangXueYou
Never Go Down,NeverGoDown,張學友,ZhangXueYou
OH!NO!,OH!NO!,張學友,ZhangXueYou
One Shining Moment,OneShiningMoment,張學友,ZhangXueYou
OOH LA LA,OOHLALA,張學友,ZhangXueYou
Overture,Overture,張學友,ZhangXueYou
Rock Prelude,RockPrelude,張學友,ZhangXueYou
See The Sunrise,SeeTheSunrise,張學友,ZhangXueYou
Smile Again 瑪利亞,SmileAgainMaLiYa,張學友,ZhangXueYou
Smile Again瑪利亞,SmileAgainMaLiYa,張學友,ZhangXueYou
Smile Again瑪莉亞,SmileAgainMaLiYa,張學友,ZhangXueYou
Something Only Love Can Do,SomethingOnlyLoveCanDo,張學友,ZhangXueYou
Sorry,Sorry,張學友,ZhangXueYou
Speak Without Words,SpeakWithoutWords,張學友,ZhangXueYou
This Time Nesxt Year,ThisTimeNesxtYear,張學友,ZhangXueYou
This Time Next Year,ThisTimeNextYear,張學友,ZhangXueYou
Touch Of Love,TouchOfLove,張學友,ZhangXueYou
一些感覺,YiXieGanJue,張學友,ZhangXueYou
一個人的犧牲,YiGeRenDeXiSheng,張學友,ZhangXueYou
一個人的犧牲、愛是永恆(國語版),YiGeRenDeXiSheng、AiShiYongHeng(GuoYuBan),張學友,ZhangXueYou
一個悲劇的開始(純音樂),YiGeBeiJuDeKaiShi(ChunYinLe),張學友,ZhangXueYou
一千個傷心的理由,YiQianGeShangXinDeLiYou,張學友,ZhangXueYou
一吻＝兩心印,YiWen＝LiangXinYin,張學友,ZhangXueYou
一往情深,YiWangQingShen,張學友,ZhangXueYou
一滴淚,YiDiLei,張學友,ZhangXueYou
一生一火花,YiShengYiHuoHua,張學友,ZhangXueYou
一生不醉醒,YiShengBuZuiXing,張學友,ZhangXueYou
一等再等,YiDengZaiDeng,張學友,ZhangXueYou
一路上,YiLuShang,張學友,ZhangXueYou
一路上有你,YiLuShangYouNi,張學友,ZhangXueYou
一顆不變心,YiKeBuBianXin,張學友,ZhangXueYou
一點燭光,YiDianZhuGuang,張學友,ZhangXueYou
一點燭火,YiDianZhuHuo,張學友,ZhangXueYou
三分拍,SanFenPai,張學友,ZhangXueYou
三天兩夜,SanTianLiangYe,張學友,ZhangXueYou
三思而後行,SanSiErHouXing,張學友,ZhangXueYou
上不完的課,ShangBuWanDeKe,張學友,ZhangXueYou
不再是夢,BuZaiShiMeng,張學友,ZhangXueYou
不再是我,BuZaiShiWo,張學友,ZhangXueYou
不准點火,BuZhunDianHuo,張學友,ZhangXueYou
不只有緣,BuZhiYouYuan,張學友,ZhangXueYou
不後悔(原聲原影),BuHouHui(YuanShengYuanYing),張學友,ZhangXueYou
不後悔,BuHouHui,張學友,ZhangXueYou
不想失去你,BuXiangShiQuNi,張學友,ZhangXueYou
不想這是場戲,BuXiangZheShiChangXi,張學友,ZhangXueYou
不經不覺,BuJingBuJue,張學友,ZhangXueYou
不老的傳說,BuLaoDeChuanShuo,張學友,ZhangXueYou
不要再問,BuYaoZaiWen,張學友,ZhangXueYou
不變的俏面,BuBianDeQiaoMian,張學友,ZhangXueYou
不錯,BuCuo,張學友,ZhangXueYou
不願再纏綿,BuYuanZaiChanMian,張學友,ZhangXueYou
中國節拍震動世界,ZhongGuoJiePaiZhenDongShiJie,張學友,ZhangXueYou
二人世界,ErRenShiJie,張學友,ZhangXueYou
二分之一的幸福,ErFenZhiYiDeXingFu,張學友,ZhangXueYou
交叉算了,JiaoChaSuanLiao,張學友,ZhangXueYou
人人,RenRen,張學友,ZhangXueYou
人人望放假,RenRenWangFangJia,張學友,ZhangXueYou
人在雨中,RenZaiYuZhong,張學友,ZhangXueYou
人生蒙太奇(池珍熙),RenShengMengTaiQi(ChiZhenXi),張學友,ZhangXueYou
人生需要什麼,RenShengXuYaoShiMa,張學友,ZhangXueYou
人間道(國),RenJianDao(Guo),張學友,ZhangXueYou
人間道,RenJianDao,張學友,ZhangXueYou
人鬼獸,RenGuiShou,張學友,ZhangXueYou
今夜星光如夢,JinYeXingGuangRuMeng,張學友,ZhangXueYou
今晚要盡情,JinWanYaoJinQing,張學友,ZhangXueYou
仍是會喜歡你,RengShiHuiXiHuanNi,張學友,ZhangXueYou
他在那裡,TaZaiNaLi,張學友,ZhangXueYou
任性,RenXing,張學友,ZhangXueYou
伯爵茶,BoJueCha,張學友,ZhangXueYou
似曾相識(& 何如惠),SiCengXiangShi(&HeRuHui),張學友,ZhangXueYou
似醉還未醉,SiZuiHuanWeiZui,張學友,ZhangXueYou
但願人長久,DanYuanRenChangJiu,張學友,ZhangXueYou
你不再說愛我,NiBuZaiShuoAiWo,張學友,ZhangXueYou
你冷得像風,NiLengDeXiangFeng,張學友,ZhangXueYou
你可以為這個世界付出更多,NiKeYiWeiZheGeShiJieFuChuGengDuo,張學友,ZhangXueYou
你好毒,NiHaoDu,張學友,ZhangXueYou
你想不想,NiXiangBuXiang,張學友,ZhangXueYou
你是愛我的,NiShiAiWoDe,張學友,ZhangXueYou
你是我今生唯一傳奇,NiShiWoJinShengWeiYiChuanQi,張學友,ZhangXueYou
你是我的春夏秋冬,NiShiWoDeChunXiaQiuDong,張學友,ZhangXueYou
你最珍貴(原聲原影),NiZuiZhenGui(YuanShengYuanYing),張學友,ZhangXueYou
你最珍貴,NiZuiZhenGui,張學友,ZhangXueYou
你沒有錯,NiMeiYouCuo,張學友,ZhangXueYou
你的名字我的姓氏,NiDeMingZiWoDeXingShi,張學友,ZhangXueYou
你知不知道,NiZhiBuZhiDao,張學友,ZhangXueYou
你給我的愛最多,NiGeiWoDeAiZuiDuo,張學友,ZhangXueYou
你說的,NiShuoDe,張學友,ZhangXueYou
來來回回,LaiLaiHuiHui,張學友,ZhangXueYou
來得及,LaiDeJi,張學友,ZhangXueYou
信念,XinNian,張學友,ZhangXueYou
信金得救,XinJinDeJiu,張學友,ZhangXueYou
假如,JiaRu,張學友,ZhangXueYou
停格,TingGe,張學友,ZhangXueYou
偷心,TouXin,張學友,ZhangXueYou
偷心者,TouXinZhe,張學友,ZhangXueYou
偷閒加油站(1),TouXianJiaYouZhan(1),張學友,ZhangXueYou
偷閒加油站(2),TouXianJiaYouZhan(2),張學友,ZhangXueYou
偷閒加油站,TouXianJiaYouZhan,張學友,ZhangXueYou
偷閒加油站Ii,TouXianJiaYouZhanIi,張學友,ZhangXueYou
傷追人,ShangZhuiRen,張學友,ZhangXueYou
內疚,NeiJiu,張學友,ZhangXueYou
兩個'她'的秘密理想,LiangGe'Ta'DeMiMiLiXiang,張學友,ZhangXueYou
兩個她一個理想,LiangGeTaYiGeLiXiang,張學友,ZhangXueYou
兩難,LiangNan,張學友,ZhangXueYou
共度良宵,GongDuLiangXiao,張學友,ZhangXueYou
再度重遇你,ZaiDuZhongYuNi,張學友,ZhangXueYou
再愛上妳,ZaiAiShangNai,張學友,ZhangXueYou
冰冷的手,BingLengDeShou,張學友,ZhangXueYou
冷樹葉,LengShuXie,張學友,ZhangXueYou
冷靜,LengJing,張學友,ZhangXueYou
分手總要在雨天,FenShouZongYaoZaiYuTian,張學友,ZhangXueYou
初吻,ChuWen,張學友,ZhangXueYou
別了,BieLiao,張學友,ZhangXueYou
別哭泣,BieKuQi,張學友,ZhangXueYou
別問,BieWen,張學友,ZhangXueYou
別戀(國),BieLian(Guo),張學友,ZhangXueYou
別戀,BieLian,張學友,ZhangXueYou
別提你的心(原聲原影),BieTiNiDeXin(YuanShengYuanYing),張學友,ZhangXueYou
別提你的心,BieTiNiDeXin,張學友,ZhangXueYou
別讓我發現你在哭,BieRangWoFaXianNiZaiKu,張學友,ZhangXueYou
剎那愛,ChaNaAi,張學友,ZhangXueYou
勇敢的故事,YongGanDeGuShi,張學友,ZhangXueYou
十二個音,ShiErGeYin,張學友,ZhangXueYou
十字街頭(金城武&周迅),ShiZiJieTou(JinChengWu&ZhouXun),張學友,ZhangXueYou
千金一刻,QianJinYiKe,張學友,ZhangXueYou
半斤八兩(Live),BanJinBaLiang(Live),張學友,ZhangXueYou
半斤八兩,BanJinBaLiang,張學友,ZhangXueYou
原不原諒,YuanBuYuanLiang,張學友,ZhangXueYou
原來你什麼都不要,YuanLaiNiShiMaDuBuYao,張學友,ZhangXueYou
原來只要共你活一天(國),YuanLaiZhiYaoGongNiHuoYiTian(Guo),張學友,ZhangXueYou
原來只要共你活一天,YuanLaiZhiYaoGongNiHuoYiTian,張學友,ZhangXueYou
